,0,1,2,3,4,5,6,7,8,9,10
0,0.0,1.0,0.999378399953017,1.0,0.999378399953017,1.0,0.999378399953017,1.0,0.999378399953017,1.0,0.999378399953017
1,0.5,0.9998507585620707,0.9993863580476967,0.9998846226921296,0.9993844775171414,0.9999479907229812,0.9993833725116955,0.9999669095319995,0.9993819597372277,0.9999718940111859,0.9993819817511328
2,1.0,0.999483975022379,0.9993903182426097,0.9996050924556671,0.999388665207532,0.9998470856164303,0.999384634424172,0.999923807748926,0.9993831090244809,0.9999511716588413,0.9993830333972217
3,1.5,0.9989190432149894,0.9993935314065897,0.9991639706731915,0.9993906599772883,0.9996841758957672,0.9993868517653229,0.9998523333063091,0.9993836484323815,0.9999125945617706,0.9993839201431821
4,2.0,0.9981868447722279,0.9993945499633439,0.998578602348576,0.999393142932858,0.9994621922696322,0.9993883544689387,0.9997533486845932,0.9993847210851157,0.99985973348796,0.9993844764128093
5,2.5,0.997314293372101,0.9993930137298728,0.9978668636752229,0.9993944421270494,0.9991862324467958,0.999390000841267,0.9996281566567892,0.9993859910335977,0.9997926506774477,0.9993852630346698
6,3.0,0.9963241153998347,0.9993915679868738,0.9970417725593136,0.9993942855760073,0.9988567669508882,0.99939177124508,0.9994766802179101,0.9993866766428209,0.9997111675217765,0.9993861605878523
7,3.5,0.9952352449570845,0.9993897545932522,0.99612062131586,0.9993934113386258,0.9984793742317158,0.9993926716387634,0.999300128858231,0.9993875518488462,0.9996166551031626,0.9993871117038973
8,4.0,0.9940173572018688,0.9993879060197316,0.9951114454587788,0.9993917325600105,0.9980576891789664,0.9993930337641818,0.9991003762783635,0.999388494550149,0.9995092469692365,0.9993877531085743
9,4.5,0.9927182538105094,0.9993852769037902,0.9940272344620689,0.999390682263504,0.9975932826439947,0.9993939484017345,0.9988689805012343,0.9993892944399286,0.9993879495514496,0.9993889530291297
10,5.0,0.9913678531844332,0.9993835172975695,0.9928766027201142,0.9993896161610939,0.9970900969677711,0.9993941366316057,0.9986081057556592,0.9993898944787954,0.9992551399015276,0.9993894600419391
11,5.5,0.989978980102411,0.9993814900059409,0.9916743675740901,0.9993877082299267,0.9965505967915343,0.9993937318480889,0.9983244109495205,0.9993916255921157,0.9991098212548186,0.9993901676387958
12,6.0,0.9885675036623875,0.9993797860494537,0.9904274584052053,0.9993865680078257,0.9959768788273476,0.9993934132371328,0.9980181369075655,0.999392254437569,0.9989529504728755,0.9993902605174423
13,6.5,0.9871384032142361,0.9993783991088003,0.9891379230115742,0.9993846190875214,0.9953684590502859,0.9993932221319901,0.9976889784374358,0.9993927121445547,0.9987858718458881,0.9993909179504709
14,7.0,0.9857043808078408,0.9993770898964313,0.9878192388012179,0.9993835869671613,0.9947347854946132,0.9993923424571484,0.9973409151654865,0.9993930985129328,0.9986055847496272,0.9993918289976501
15,7.5,0.98426812549546,0.9993756120879196,0.9864735889817212,0.9993824796075175,0.9940710744578976,0.9993917023770676,0.9969738695357949,0.9993937635234967,0.998415798033616,0.9993921680350103
16,8.0,0.9828359892722722,0.9993747622095773,0.9851131135630683,0.9993809682776815,0.9933848584776718,0.9993911911347398,0.9965903257740174,0.9993939771041344,0.9982154259033805,0.9993929835297198
17,8.5,0.9814122296040318,0.9993731555807694,0.9837286147109717,0.9993800687586639,0.9926748898399645,0.9993902183300261,0.99618593280792,0.9993939744049128,0.9980051683715562,0.999392936645151
18,9.0,0.9800002007530605,0.9993722124599241,0.9823419228504727,0.9993789598534466,0.9919445594813192,0.9993897399990616,0.9957674761876679,0.9993939095563299,0.9977853161629816,0.9993931552791077
19,9.5,0.9786026235297366,0.9993715156664534,0.9809426564581724,0.9993775498600673,0.9911925013556697,0.9993886431934026,0.9953309212843721,0.9993935519103035,0.9975548680133576,0.9993939195159922
20,10.0,0.97722014285628,0.9993709533858657,0.9795295066263786,0.9993767548783485,0.9904244404438668,0.9993879992249014,0.9948822020509781,0.9993931027909962,0.9973155854356541,0.9993941702760846
21,10.5,0.9758577333846284,0.9993703031760615,0.9781162002151151,0.9993757377159475,0.989639362622683,0.9993874473907386,0.9944202167463864,0.9993928524814369,0.9970680459940492,0.9993942304065496
22,11.0,0.974516263845438,0.9993695988010479,0.9767110356251676,0.9993747425800157,0.9888410182579755,0.9993867556731822,0.9939419066748743,0.9993922913211465,0.9968121194984106,0.9993941324541072
23,11.5,0.9731923006861395,0.9993690477571056,0.9753112468303399,0.9993736273626065,0.988029402764337,0.999385596306782,0.9934541830568833,0.9993914401747124,0.9965489686562856,0.9993943807847169
24,12.0,0.9718942421936321,0.999368638690092,0.9739263173212952,0.9993727421102877,0.9872039896821243,0.9993849846802737,0.9929517370235192,0.9993909122543695,0.9962753157060966,0.9993941873137056
25,12.5,0.9706157418333915,0.9993677272406698,0.9725518517719184,0.9993725443979801,0.9863713280943989,0.9993840383505243,0.9924406768698514,0.9993906415516944,0.9959954731827373,0.9993944102179917
26,13.0,0.9693601307406867,0.9993675462663969,0.9711907905290795,0.9993716301092834,0.9855253091007627,0.9993833627083971,0.9919209433058068,0.9993903829891382,0.995709101073202,0.99939397235751
27,13.5,0.9681262144591755,0.9993669611190407,0.9698455150564683,0.999370858828415,0.9846756970158376,0.9993826916763617,0.9913876906643208,0.9993899485522046,0.9954118966022664,0.999393459398832
28,14.0,0.966864738991212,0.9993670644037258,0.9685183518663633,0.9993704992062917,0.9838158405290262,0.9993819293995747,0.9908463047437825,0.9993893088982929,0.9951099953953442,0.9993931169958028
