,0,1,2,3,4,5,6,7,8,9
0,0.0,97925.58265968112,97925.58265968112,35.614491385336756,47364.099231380555,47364.099231380555,35.614491385336756,30378.34743303213,30378.34743303213,35.614491385336756
1,40.0,97925.58265968112,98765.58265968112,35.614660309976415,47364.099231380555,50524.099231380555,35.619420745214974,30378.34743303213,37178.34743303213,35.630921719468844
2,80.0,97925.58265968112,99605.58265968112,35.61673620625033,47364.099231380555,53684.099231380555,35.623121440290454,30378.34743303213,43978.34743303213,35.64811216618089
3,120.0,97925.58265968112,100445.58265968112,35.618919938864124,47364.099231380555,56844.099231380555,35.636302577552364,30378.34743303213,50778.34743303213,35.66607341369008
4,160.0,97925.58265968112,101285.58265968112,35.62057867450734,47364.099231380555,60004.099231380555,35.63638466581475,30378.34743303213,57578.34743303213,35.684914766679924
5,200.0,97925.58265968112,102125.58265968112,35.62243237570988,47364.099231380555,63164.099231380555,35.63622328922659,30378.34743303213,64378.34743303213,35.70142388510344
6,240.0,97925.58265968112,102965.58265968112,35.62415477709323,47364.099231380555,66324.09923138056,35.648133679338386,30378.34743303213,71178.34743303213,35.723499224255576
7,280.0,97925.58265968112,103805.58265968112,35.626798298973,47364.099231380555,69484.09923138056,35.65433671791463,30378.34743303213,77978.34743303213,35.73909082605119
8,320.0,97925.58265968112,104645.58265968112,35.632778909549124,47364.099231380555,72644.09923138056,35.66082911040398,30378.34743303213,84778.34743303213,35.752947349121385
9,360.0,97925.58265968112,105485.58265968112,35.63442802934796,47364.099231380555,75804.09923138056,35.66855274589008,30378.34743303213,91578.34743303213,35.77228957921968
10,400.0,97925.58265968112,106325.58265968112,35.63336334786666,47364.099231380555,78964.09923138056,35.67000962609757,30378.34743303213,98378.34743303213,35.78555743904174
11,440.0,97925.58265968112,107165.58265968112,35.63678859998008,47364.099231380555,82124.09923138056,35.67731737527069,30378.34743303213,105178.34743303213,35.811416017240944
12,480.0,97925.58265968112,108005.58265968112,35.638682834010886,47364.099231380555,85284.09923138056,35.68193680761005,30378.34743303213,111978.34743303213,35.823571957400674
13,520.0,97925.58265968112,108845.58265968112,35.638655767706815,47364.099231380555,88444.09923138056,35.69255665600476,30378.34743303213,118778.34743303213,35.84103425879484
14,560.0,97925.58265968112,109685.58265968112,35.63846070864171,47364.099231380555,91604.09923138056,35.69375788361147,30378.34743303213,125578.34743303213,35.856898326373226
15,600.0,97925.58265968112,110525.58265968112,35.64261951055926,47364.099231380555,94764.09923138056,35.701435247978495,30378.34743303213,132378.34743303212,35.87314956524293
16,640.0,97925.58265968112,111365.58265968112,35.6468084806876,47364.099231380555,97924.09923138056,35.707822098517646,30378.34743303213,139178.34743303212,35.88667628836013
17,680.0,97925.58265968112,112205.58265968112,35.64810281266738,47364.099231380555,101084.09923138056,35.71206592198871,30378.34743303213,145978.34743303212,35.9036019935792
